"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"scale(APDQS_protein_score)",0.907431261952065,0.0481744946601107,-2.0163669759831,0.0437616161012627,0.825671953870093,0.997286502597462
"scale(age)",1.87898607988,0.0489525127417222,12.8845748015423,5.49776641283177e-38,1.70708485094274,2.06819753946796
"scale(BMI)",1.01725158992235,0.0458446955419094,0.373095963612065,0.709077022718317,0.929833741604669,1.11288798297826
"scale(PA)",0.993715686839423,0.0421821491543428,-0.149450483266879,0.881198179092651,0.914864203945299,1.07936332191415
"scale(eGFR)",1.00865573138792,0.0441811372090919,0.195071604378577,0.845336891946466,0.92498759496601,1.09989192287392
"factor(sex)2",1.36640346286688,0.0920440270425752,3.39166036492607,0.00069470495885991,1.14085627668141,1.63654130804767
"factor(race)2",0.766371572677896,0.144500159566017,-1.84143841660745,0.0655573374505018,0.5773519381925,1.01727447083232
"factor(race)3",0.866917970262396,0.114680118906492,-1.24529797620513,0.21302223931385,0.692408054663603,1.08541020298934
"factor(race)4",1.02675802654274,0.103281000092274,0.255674240440748,0.798202387342837,0.838600582850593,1.25713249743563
"scale(energy)",0.992042619090492,0.0424548681090587,-0.188181242414437,0.850734576186047,0.912835835538,1.07812217682262
"scale(smoking)",1.03179743670083,0.0344834842502681,0.907749498271901,0.364010585718849,0.964366353644981,1.10394348201651
"scale(SBP)",1.24369268085508,0.0392865016750661,5.55114131789538,2.83810535543756e-08,1.15152228639701,1.34324059784564
"scale(HDL)",0.843998552007845,0.0482501249390582,-3.51511006929794,0.000439571758541862,0.767840686237283,0.927710094762039
"scale(cholesterol)",1.12938242057124,0.0396492716878793,3.06868065098165,0.00215006291038455,1.04494035614923,1.22064828331045
"factor(diabetes)1",1.65373069137625,0.10052899991575,5.00386715415278,5.61914880424573e-07,1.35798304187046,2.01388759305337
"factor(htnmeds)1",1.26046723499236,0.0853971240211106,2.71065889281474,0.00671496666890605,1.06620667526179,1.49012165028811
"factor(lipidmeds)1",0.936217523677815,0.0994253517464124,-0.662883573004421,0.507405123248655,0.770452294610149,1.13764766199435
